rank,site_id,name,county,category,status,tier,priority_score,source_strength,history_foundation,human_story,defining_event,regional_consequence,visual_evidence,reason
1,diaz-chemical-holley,Diaz Chemical Corporation Superfund Site,Orleans,cleanup,feature complete,Complete,49,15,10,15,3,6,0,strong human-story signal; strong source base
2,forest-glen-mobile-home-subdivision,Forest Glen Mobile Home Subdivision,Niagara,cleanup,feature complete,Complete,43,12,10,15,0,6,0,strong human-story signal; strong source base
3,niagara-falls-storage-site,Niagara Falls Storage Site,Niagara,radiological,feature complete,Complete,40,15,10,0,6,9,0,strong source base
4,fashion-outlets-sabre-park,Fashion Outlets / Former Sabre Park,Niagara,cleanup,feature complete,Complete,37,12,10,6,6,3,0,strong source base
5,wide-beach-development,Wide Beach Development,Erie,cleanup,feature complete,Complete,36,12,9,3,0,12,0,regional consequence; strong source base
6,bethlehem-steel,Former Bethlehem Steel,Erie,industry,feature complete,Complete,35,15,10,0,0,0,10,historical aerials available; strong source base
7,niagara-erie-radiological-assessment,Niagara–Erie Residential Radiological Assessment,Niagara,radiological,feature complete,Complete,34,15,10,6,0,3,0,strong source base
8,buffalo-river,Buffalo River,Erie,waterway,feature complete,Complete,31,15,10,0,3,3,0,strong source base
9,former-american-axle-east-delavan,Former GM / American Axle Plant,Erie,cleanup,feature complete,Complete,31,15,10,0,0,6,0,strong source base
10,former-hooker-main-plant,Former Hooker Main Plant / Occidental Niagara Plant,Niagara,cleanup,feature complete,Complete,31,15,10,0,3,3,0,strong source base
11,fmc-dublin-road-landfill,FMC Dublin Road Landfill,Orleans,cleanup,feature complete,Complete,29,15,8,0,0,6,0,strong source base
12,olean-well-field-superfund,Olean Well Field Superfund Site,Cattaraugus,cleanup,feature complete,Complete,28,12,10,3,0,3,0,strong source base
13,durez-occidental-north-tonawanda,Durez / Occidental Chemical,Niagara,cleanup,feature complete,Complete,28,15,10,0,0,3,0,strong source base
14,niagara-falls-air-reserve-pfas,Niagara Falls Air Reserve Station PFAS Investigation,Niagara,pfas,feature complete,Complete,28,8,8,0,6,6,0,solid baseline; additional primary research needed
15,fmc-middleport,FMC Middleport Facility and Off-Site Cleanup,Niagara,cleanup,feature complete,Complete,27,8,10,6,3,0,0,solid baseline; additional primary research needed
16,union-road-gardenville-yard,Union Road Site / Losson Road Tar Pit,Erie,cleanup,feature complete,Complete,27,15,9,3,0,0,0,strong source base
17,buffalo-color,Buffalo Color,Erie,industry,feature complete,Complete,27,15,9,0,0,3,0,strong source base
18,eighteenmile-creek-superfund,Eighteen Mile Creek Superfund Site,Niagara,waterway,feature complete,Complete,27,8,10,0,0,9,0,solid baseline; additional primary research needed
19,motor-frog-islands-restoration,Motor and Frog Islands Restoration,Erie,waterway,feature complete,Complete,27,12,9,0,3,3,0,strong source base
20,polymer-applications,Former Polymer Applications,Erie,cleanup,feature complete,Complete,26,8,9,0,6,3,0,solid baseline; additional primary research needed
